                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56169,                0.38744,                0.98866,                0.91032,                0.97232,                 0.9924,                 0.8609,                0.57611,                 1.0235,                 1.2154,                 0.0704,              0.0032889,              0.0032889
                      2,                0.63066,                0.46106,                 1.0742,                0.81654,                0.78226,                0.97037,                0.75553,                0.80568,                 1.8366,                 1.8009,               0.039744,              0.0059666,              0.0059666
                      3,                0.63778,                0.46723,                 1.0864,                0.99334,                 0.9476,                0.99118,                0.85211,                0.62022,                0.87891,                 1.3276,              0.0084288,              0.0079844,              0.0079844
                      4,                0.59621,                0.42966,                  1.036,                0.98078,                0.96209,                0.98868,                0.86193,                0.57706,                0.71064,                 1.2066,                0.00703,                0.00703,                0.00703
                      5,                0.53822,                0.39421,                0.98725,                0.99476,                0.95638,                0.99447,                0.89333,                 0.6094,                 0.4533,                 1.2898,                0.00703,                0.00703,                0.00703
                      6,                0.50533,                0.35494,                0.93893,                 0.9973,                 0.9973,                0.99467,                0.92555,                0.40692,                0.32955,                 1.0114,                0.00604,                0.00604,                0.00604
                      7,                0.49023,                0.33617,                0.93313,                0.99762,                 0.9973,                 0.9948,                0.91657,                0.43291,                0.29949,                 1.0432,                0.00505,                0.00505,                0.00505
                      8,                0.47574,                0.32314,                0.92473,                0.99812,                 0.9973,                0.99462,                0.90769,                0.43826,                0.29245,                 1.0775,                0.00406,                0.00406,                0.00406
                      9,                0.45953,                0.30667,                0.89722,                0.99813,                 0.9973,                0.99419,                0.91879,                0.40987,                 0.2708,                 1.0007,                0.00307,                0.00307,                0.00307
                     10,                0.43152,                0.28469,                0.87212,                0.99836,                 0.9973,                0.99492,                0.94722,                0.32826,                0.23701,                0.93962,                0.00208,                0.00208,                0.00208
